Wavelength	Counts
339.8119	-55.3683
340.198	-55.3683
340.5842	-55.3683
340.9702	-116.80736
341.3563	-79.35879
341.7423	-73.50745
342.1283	-98.66821
342.5142	-96.32767
342.9001	-90.47633
343.2859	-57.70883
343.6717	-16.74946
344.0575	-68.24124
344.4432	-50.10209
344.8289	34.74233
345.2145	-12.65352
345.6001	32.40179
345.9856	11.33697
346.3711	29.47612
346.7566	62.24362
347.142	86.81925
347.5274	96.18139
347.9128	137.7259
348.2981	135.9705
348.6833	142.40697
349.0685	158.79072
349.4537	181.61094
349.8389	186.87715
350.224	183.95148
350.609	229.00679
350.994	225.49599
351.379	232.51759
351.7639	234.85813
352.1488	265.28509
352.5336	275.81751
352.9185	245.39054
353.3032	241.2946
353.6879	273.47697
354.0726	250.65675
354.4572	285.76478
354.8418	282.25398
355.2264	303.3188
355.6109	281.66884
355.9954	293.37152
356.3798	320.87282
356.7642	274.0621
357.1485	262.94456
357.5328	294.54179
357.9171	272.3067
358.3013	286.34992
358.6855	261.18916
359.0696	264.69996
359.4537	271.72157
359.8378	279.91344
360.2218	248.90134
360.6058	281.08371
360.9897	262.94456
361.3736	278.15804
361.7574	225.49599
362.1412	241.87974
362.525	247.73108
362.9087	262.35943
363.2924	219.64465
363.676	231.34733
364.0596	233.10273
364.4432	243.05001
364.8267	250.65675
365.2102	242.46487
365.5936	246.56081
365.977	229.59193
366.3603	218.47438
366.7436	227.25139
367.1269	229.00679
367.5101	296.88233
367.8933	258.26349
368.2764	182.19608
368.6595	241.2946
369.0426	219.05951
369.4256	247.73108
369.8085	252.41215
370.1915	251.82701
370.5743	244.22027
370.9572	258.26349
371.34	245.97568
371.7227	240.70947
372.1055	256.50809
372.4881	236.0284
372.8708	246.56081
373.2534	238.36893
373.6359	241.2946
374.0184	245.39054
374.4009	272.3067
374.7833	248.90134
375.1657	245.97568
375.548	267.62563
375.9303	284.00938
376.3126	251.24188
376.6948	208.5271
377.0769	265.87023
377.4591	242.46487
377.8412	238.95407
378.2232	248.90134
378.6052	230.17706
378.9872	236.0284
379.3691	240.12434
379.751	232.51759
380.1328	274.64724
380.5146	236.61353
380.8963	253.58242
381.278	245.39054
381.6597	254.75268
382.0413	248.90134
382.4229	241.87974
382.8044	251.82701
383.1859	229.00679
383.5674	275.23237
383.9488	248.90134
384.3302	239.5392
384.7115	255.92295
385.0928	245.39054
385.474	273.47697
385.8552	265.87023
386.2364	230.17706
386.6175	228.42166
386.9986	264.69996
387.3796	219.64465
387.7606	252.99728
388.1416	274.64724
388.5225	281.66884
388.9033	255.92295
389.2841	208.5271
389.6649	240.12434
390.0457	237.7838
390.4263	283.42425
390.807	248.90134
391.1876	247.14594
391.5682	248.90134
391.9487	243.05001
392.3292	238.95407
392.7096	222.57032
393.09	245.39054
393.4704	244.22027
393.8507	254.16755
394.231	261.18916
394.6112	248.90134
394.9914	282.83911
395.3715	249.48648
395.7516	259.43376
396.1317	226.08112
396.5117	271.72157
396.8917	254.75268
397.2716	239.5392
397.6515	273.47697
398.0313	264.11483
398.4111	244.22027
398.7909	270.5513
399.1706	262.35943
399.5503	258.26349
399.9299	236.61353
400.3095	260.01889
400.6891	260.01889
401.0686	262.94456
401.448	227.83652
401.8275	225.49599
402.2068	246.56081
402.5862	254.16755
402.9655	252.99728
403.3447	239.5392
403.7239	265.87023
404.1031	274.64724
404.4822	256.50809
404.8613	249.48648
405.2403	239.5392
405.6193	271.72157
405.9983	231.93246
406.3772	228.42166
406.7561	278.15804
407.1349	279.32831
407.5137	261.77429
407.8924	224.91085
408.2711	299.22286
408.6498	265.28509
409.0284	253.58242
409.4069	288.10532
409.7855	259.43376
410.164	298.63773
410.5424	254.75268
410.9208	275.23237
411.2992	247.73108
411.6775	262.94456
412.0557	293.37152
412.434	251.24188
412.8121	254.16755
413.1903	284.59451
413.5684	296.29719
413.9464	298.63773
414.3245	311.51068
414.7024	311.51068
415.0804	292.20126
415.4582	299.808
415.8361	300.97826
416.2139	265.87023
416.5916	305.65934
416.9694	299.22286
417.347	281.66884
417.7247	315.02148
418.1022	300.97826
418.4798	296.29719
418.8573	265.28509
419.2347	305.65934
419.6122	261.77429
419.9895	280.49858
420.3669	281.66884
420.7441	295.12693
421.1214	291.61612
421.4986	272.3067
421.8757	277.57291
422.2529	300.97826
422.6299	302.14853
423.007	292.20126
423.3839	304.48907
423.7609	281.08371
424.1378	271.13643
424.5146	284.00938
424.8915	266.45536
425.2682	276.40264
425.645	293.95666
426.0216	283.42425
426.3983	249.48648
426.7749	286.93505
427.1514	271.72157
427.5279	280.49858
427.9044	297.46746
428.2808	299.22286
428.6572	296.29719
429.0336	252.41215
429.4099	274.64724
429.7861	293.37152
430.1623	293.37152
430.5385	297.46746
430.9146	319.11742
431.2907	274.64724
431.6667	288.69045
432.0427	292.78639
432.4187	307.41474
432.7946	292.20126
433.1705	300.97826
433.5463	278.15804
433.9221	312.09581
434.2978	304.48907
434.6735	344.86331
435.0491	324.96876
435.4248	346.03358
435.8003	330.23496
436.1758	335.50117
436.5513	326.13902
436.9268	354.81059
437.3021	326.72416
437.6775	343.69304
438.0528	379.38621
438.4281	363.00246
438.8033	380.55648
439.1785	402.20643
439.5536	396.35509
439.9287	401.03617
440.3037	441.99554
440.6787	426.78206
441.0537	448.43201
441.4286	468.9117
441.8035	482.95492
442.1783	517.47782
442.5531	556.68179
442.9278	588.86416
443.3025	697.11393
443.6772	992.60657
444.0518	1645.0309
444.4264	3154.67643
444.8009	6308.54831
445.1754	12143.50384
445.5498	19252.29594
445.9242	27440.07501
446.2985	35430.66393
446.6728	36995.31206
447.0471	37004.08907
447.4213	36386.18764
447.7955	35193.68469
448.1696	33840.85505
448.5437	31273.28737
448.9178	30640.75759
449.2918	29176.75251
449.6657	27286.18478
450.0397	26278.58416
450.4135	25167.99996
450.7874	24701.06309
451.1612	23647.82201
451.5349	22835.65612
451.9086	21287.39175
452.2823	19598.11009
452.6559	19205.48523
453.0294	17159.85701
453.403	17131.18545
453.7764	15911.76634
454.1499	15028.79925
454.5233	13753.20728
454.8966	11445.43907
455.2699	9041.12376
455.6432	6735.69608
456.0164	4333.13617
456.3896	2676.03688
456.7627	1523.32304
457.1358	951.06206
457.5089	618.12085
457.8819	494.07246
458.2548	409.22804
458.6277	351.29978
459.0006	332.5755
459.3734	337.8417
459.7462	357.15112
460.119	337.25657
460.4917	334.3309
460.8643	318.53228
461.2369	277.57291
461.6095	289.27559
461.982	313.26608
462.3545	301.5634
462.7269	269.38103
463.0993	300.97826
463.4717	309.17014
463.844	278.74318
464.2162	302.73367
464.5884	267.0405
464.9606	276.98777
465.3327	293.95666
465.7048	295.71206
466.0769	274.64724
466.4489	286.34992
466.8208	285.76478
467.1927	275.81751
467.5646	293.37152
467.9364	274.64724
468.3082	293.95666
468.6799	280.49858
469.0516	269.96617
469.4232	257.67835
469.7948	247.73108
470.1664	268.7959
470.5379	282.25398
470.9094	279.91344
471.2808	293.95666
471.6522	286.34992
472.0235	254.16755
472.3948	261.77429
472.7661	269.38103
473.1373	282.83911
473.5084	265.28509
473.8796	256.50809
474.2506	303.3188
474.6217	254.16755
474.9927	239.5392
475.3636	272.89184
475.7345	278.74318
476.1054	266.45536
476.4762	261.18916
476.8469	277.57291
477.2177	287.52018
477.5883	275.23237
477.959	263.52969
478.3296	268.21076
478.7001	248.31621
479.0706	282.83911
479.4411	257.09322
479.8115	292.78639
480.1819	261.18916
480.5522	252.41215
480.9225	262.35943
481.2927	261.18916
481.6629	262.35943
482.033	241.87974
482.4031	272.89184
482.7732	281.08371
483.1432	279.32831
483.5132	275.81751
483.8831	283.42425
484.253	256.50809
484.6229	272.89184
484.9926	285.17965
485.3624	251.82701
485.7321	289.86072
486.1018	274.0621
486.4714	274.0621
486.841	276.40264
487.2105	275.81751
487.58	254.16755
487.9494	272.89184
488.3188	246.56081
488.6882	274.0621
489.0575	268.21076
489.4268	281.66884
489.796	281.66884
490.1652	265.87023
490.5343	282.25398
490.9034	255.33782
491.2724	244.22027
491.6414	255.92295
492.0104	291.03099
492.3793	243.63514
492.7482	255.92295
493.117	259.43376
493.4858	239.5392
493.8545	285.17965
494.2232	272.3067
494.5918	257.09322
494.9604	265.87023
495.329	276.40264
495.6975	254.16755
496.066	271.13643
496.4344	248.90134
496.8028	252.99728
497.1711	275.23237
497.5394	277.57291
497.9076	252.41215
498.2758	267.0405
498.644	256.50809
499.0121	271.72157
499.3802	272.3067
499.7482	241.87974
500.1162	239.5392
500.4841	279.91344
500.852	276.98777
501.2198	278.15804
501.5876	261.18916
501.9554	269.38103
502.3231	269.38103
502.6908	252.41215
503.0584	290.44585
503.426	260.01889
503.7935	258.84862
504.161	268.7959
504.5284	286.93505
504.8958	284.00938
505.2632	285.17965
505.6305	239.5392
505.9978	260.01889
506.365	268.21076
506.7322	252.41215
507.0993	278.74318
507.4664	309.17014
507.8334	282.83911
508.2004	274.64724
508.5674	281.66884
508.9343	289.86072
509.3012	262.94456
509.668	257.67835
510.0347	252.41215
510.4015	277.57291
510.7682	272.3067
511.1348	269.96617
511.5014	286.34992
511.8679	236.61353
512.2345	250.65675
512.6009	308.58501
512.9673	285.17965
513.3337	252.99728
513.7	300.97826
514.0663	252.99728
514.4326	240.12434
514.7987	279.91344
515.1649	241.87974
515.531	254.75268
515.8971	243.63514
516.2631	280.49858
516.629	289.86072
516.995	281.08371
517.3608	268.7959
517.7267	295.71206
518.0925	243.05001
518.4582	261.77429
518.8239	256.50809
519.1896	267.0405
519.5552	271.72157
519.9207	257.09322
520.2863	241.2946
520.6517	260.01889
521.0172	212.62304
521.3826	270.5513
521.7479	261.77429
522.1132	219.64465
522.4784	322.62822
522.8436	288.10532
523.2088	278.15804
523.5739	270.5513
523.939	248.90134
524.304	249.48648
524.669	262.35943
525.0339	264.69996
