Wavelength	Counts
339.8119	-68.64352
340.198	-68.64352
340.5842	-68.64352
340.9702	-118.96504
341.3563	-87.36781
341.7423	-72.73946
342.1283	-87.95294
342.5142	-101.99616
342.9001	-75.08
343.2859	-80.93134
343.6717	-24.75848
344.0575	-55.77058
344.4432	-33.53549
344.8289	-45.23817
345.2145	18.54143
345.6001	9.76442
345.9856	48.38326
346.3711	50.13866
346.7566	60.08594
347.142	96.36424
347.5274	111.57773
347.9128	110.40746
348.2981	132.05741
348.6833	137.32362
349.0685	174.18706
349.4537	193.49648
349.8389	194.66674
350.224	174.77219
350.609	238.55179
350.994	216.3167
351.379	248.49907
351.7639	230.35991
352.1488	254.3504
352.5336	277.17063
352.9185	269.56389
353.3032	251.42473
353.6879	295.89491
354.0726	288.87331
354.4572	255.52067
354.8418	277.17063
355.2264	257.86121
355.6109	250.25447
355.9954	292.96924
356.3798	278.3409
356.7642	291.79898
357.1485	273.65982
357.5328	255.52067
357.9171	268.39362
358.3013	290.62871
358.6855	297.06518
359.0696	265.46795
359.4537	278.92603
359.8378	262.54228
360.2218	266.05308
360.6058	263.12741
360.9897	280.0963
361.3736	277.17063
361.7574	248.49907
362.1412	223.92344
362.525	247.91393
362.9087	268.97875
363.2924	256.69094
363.676	289.45844
364.0596	243.23286
364.4432	309.93813
364.8267	281.26657
365.2102	256.69094
365.5936	285.94764
365.977	262.54228
366.3603	262.54228
366.7436	257.27607
367.1269	267.80848
367.5101	242.06259
367.8933	198.17755
368.2764	232.70045
368.6595	234.45585
369.0426	285.94764
369.4256	240.89232
369.8085	266.05308
370.1915	244.40313
370.5743	255.52067
370.9572	263.71255
371.34	250.8396
371.7227	272.48956
372.1055	238.55179
372.4881	253.76527
372.8708	277.75576
373.2534	231.53018
373.6359	260.78688
374.0184	253.76527
374.4009	203.44375
374.7833	224.50857
375.1657	250.25447
375.548	274.24496
375.9303	243.23286
376.3126	287.70304
376.6948	248.49907
377.0769	258.44634
377.4591	263.12741
377.8412	270.73415
378.2232	199.93295
378.6052	242.64773
378.9872	234.45585
379.3691	260.78688
379.751	254.93554
380.1328	263.12741
380.5146	252.00987
380.8963	282.43683
381.278	254.93554
381.6597	230.94505
382.0413	257.27607
382.4229	249.0842
382.8044	266.63822
383.1859	278.3409
383.5674	274.24496
383.9488	293.55438
384.3302	233.87072
384.7115	244.40313
385.0928	233.87072
385.474	245.5734
385.8552	251.42473
386.2364	277.17063
386.6175	274.83009
386.9986	247.91393
387.3796	259.03148
387.7606	247.91393
388.1416	268.39362
388.5225	266.05308
388.9033	233.87072
389.2841	261.95715
389.6649	277.17063
390.0457	273.65982
390.4263	288.28817
390.807	274.83009
391.1876	268.39362
391.5682	272.48956
391.9487	253.76527
392.3292	238.55179
392.7096	285.94764
393.09	283.6071
393.4704	268.39362
393.8507	300.57598
394.231	298.23545
394.6112	263.71255
394.9914	245.5734
395.3715	274.24496
395.7516	271.31929
396.1317	273.07469
396.5117	301.16112
396.8917	280.68143
397.2716	241.47746
397.6515	260.20174
398.0313	265.46795
398.4111	276.58549
398.7909	271.90442
399.1706	297.06518
399.5503	288.28817
399.9299	285.94764
400.3095	311.1084
400.6891	297.65032
401.0686	276.58549
401.448	305.84219
401.8275	308.76786
402.2068	319.8854
402.5862	318.13
402.9655	323.39621
403.3447	279.51116
403.7239	317.54487
404.1031	281.8517
404.4822	270.14902
404.8613	315.78947
405.2403	328.66241
405.6193	304.08679
405.9983	305.84219
406.3772	312.27866
406.7561	291.79898
407.1349	331.00295
