Wavelength	Counts
339.8119	-55.03916
340.198	-55.03916
340.5842	-55.03916
340.9702	-118.23362
341.3563	-125.84037
341.7423	-94.24313
342.1283	-98.9242
342.5142	-90.1472
342.9001	-72.59318
343.2859	-67.32697
343.6717	-79.02965
344.0575	-59.72023
344.4432	-25.78246
344.8289	2.8891
345.2145	-0.03657
345.6001	31.56066
345.9856	16.93231
346.3711	48.52955
346.7566	62.57276
347.142	97.09566
347.5274	118.74562
347.9128	115.23481
348.2981	126.93749
348.6833	155.60905
349.0685	192.47249
349.4537	157.36446
349.8389	162.04553
350.224	229.92106
350.609	236.94267
350.994	198.90896
351.379	235.18727
351.7639	249.81562
352.1488	219.97379
352.5336	263.85883
352.9185	225.82513
353.3032	269.71017
353.6879	270.88044
354.0726	281.41285
354.4572	267.36963
354.8418	276.73178
355.2264	272.63584
355.6109	309.49928
355.9954	281.41285
356.3798	308.32901
356.7642	296.62633
357.1485	279.07231
357.5328	281.41285
357.9171	275.56151
358.3013	271.46557
358.6855	300.72227
359.0696	263.85883
359.4537	286.09392
359.8378	284.92365
360.2218	270.88044
360.6058	263.2737
360.9897	293.11553
361.3736	252.74129
361.7574	229.92106
362.1412	250.40075
362.525	287.84932
362.9087	290.77499
363.2924	270.2953
363.676	272.05071
364.0596	227.58053
364.4432	243.96428
364.8267	222.31432
365.2102	248.64535
365.5936	221.72919
365.977	219.97379
366.3603	273.22097
366.7436	231.67646
367.1269	244.54941
367.5101	220.55892
367.8933	224.65486
368.2764	234.017
368.6595	226.41026
369.0426	211.19678
369.4256	241.62374
369.8085	253.32642
370.1915	248.06021
370.5743	233.43187
370.9572	265.0291
371.34	226.41026
371.7227	222.31432
372.1055	271.46557
372.4881	265.0291
372.8708	228.16566
373.2534	249.23048
373.6359	262.10343
374.0184	228.16566
374.4009	236.94267
374.7833	224.06972
375.1657	211.19678
375.548	218.21838
375.9303	260.34803
376.3126	284.33852
376.6948	250.98588
377.0769	253.32642
377.4591	229.92106
377.8412	267.36963
378.2232	242.79401
378.6052	245.71968
378.9872	231.67646
379.3691	236.94267
379.751	232.84673
380.1328	248.06021
380.5146	232.84673
380.8963	214.70758
381.278	265.61423
381.6597	222.31432
382.0413	234.60213
382.4229	256.25209
382.8044	247.47508
383.1859	240.45347
383.5674	252.15615
383.9488	246.88995
384.3302	239.86834
384.7115	257.42236
385.0928	266.19937
385.474	245.71968
385.8552	240.45347
386.2364	270.2953
386.6175	243.96428
386.9986	215.87785
387.3796	203.59004
387.7606	245.71968
388.1416	261.5183
388.5225	262.68856
388.9033	256.83722
389.2841	270.2953
389.6649	239.86834
390.0457	280.24258
390.4263	242.20888
390.807	235.18727
391.1876	260.34803
391.5682	219.38865
391.9487	246.88995
392.3292	261.5183
392.7096	269.12504
393.09	260.34803
393.4704	253.91155
393.8507	224.06972
394.231	282.58312
394.6112	251.57102
394.9914	259.17776
395.3715	236.94267
395.7516	283.75338
396.1317	256.25209
396.5117	243.96428
396.8917	265.0291
397.2716	229.92106
397.6515	235.7724
398.0313	246.88995
398.4111	276.14664
398.7909	274.39124
399.1706	265.0291
399.5503	254.49669
399.9299	267.36963
400.3095	244.54941
400.6891	225.23999
401.0686	258.00749
401.448	243.96428
