Theoretical Spectrum of Semrock FF01-430/LP Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
300	1e-07
300.2	1e-07
300.4	1e-07
300.6	1e-07
300.8	1e-07
301	1e-07
301.2	1e-07
301.4	1e-07
301.6	1e-07
301.8	1e-07
302	1e-07
302.2	1e-07
302.4	1e-07
302.6	1e-07
302.8	1e-07
303	1e-07
303.2	1e-07
303.4	1e-07
303.6	1e-07
303.8	1e-07
304	1e-07
304.2	1e-07
304.4	1e-07
304.6	1e-07
304.8	1e-07
305	1e-07
305.2	1e-07
305.4	1e-07
305.6	1e-07
305.8	1e-07
306	1e-07
306.2	1e-07
306.4	1e-07
306.6	1e-07
306.8	1e-07
307	1e-07
307.2	1e-07
307.4	1e-07
307.6	1e-07
307.8	1e-07
308	1e-07
308.2	1e-07
308.4	1e-07
308.6	1e-07
308.8	1e-07
309	1e-07
309.2	1e-07
309.4	1e-07
309.6	1e-07
309.8	1e-07
310	1e-07
310.2	1e-07
310.4	1e-07
310.6	1e-07
310.8	1e-07
311	1e-07
311.2	1e-07
311.4	1e-07
311.6	1e-07
311.8	1e-07
312	1e-07
312.2	1e-07
312.4	1e-07
312.6	1e-07
312.8	1e-07
313	1e-07
313.2	1e-07
313.4	1e-07
313.6	1e-07
313.8	1e-07
314	1e-07
314.2	1e-07
314.4	1e-07
314.6	1e-07
314.8	1e-07
315	1e-07
315.2	1e-07
315.4	1e-07
315.6	1e-07
315.8	1e-07
316	1e-07
316.2	1e-07
316.4	1e-07
316.6	1e-07
316.8	1e-07
317	1e-07
317.2	1e-07
317.4	1e-07
317.6	1e-07
317.8	1e-07
318	1e-07
318.2	1e-07
318.4	1e-07
318.6	1e-07
318.8	1e-07
319	1e-07
319.2	1e-07
319.4	1e-07
319.6	1e-07
319.8	1e-07
320	1e-07
320.2	1e-07
320.4	1e-07
320.6	1e-07
320.8	1e-07
321	1e-07
321.2	1e-07
321.4	1e-07
321.6	1e-07
321.8	1e-07
322	1.02762808369373e-07
322.2	1.16730873946785e-07
322.4	1.31825177943451e-07
322.6	1.47996729384756e-07
322.8	1.65157103213093e-07
323	1.83167681551264e-07
323.2	2.01826665602191e-07
323.4	2.20854713025779e-07
323.6	2.39881362402932e-07
323.8	2.58436044681922e-07
324	2.75948986129109e-07
324.2	2.91767342590964e-07
324.4	3.05190892545879e-07
324.6	3.15535455458312e-07
324.8	3.22213762067827e-07
325	3.24821660032245e-07
325.2	3.23211629171062e-07
325.4	3.17533613776879e-07
325.6	3.08229256461231e-07
325.8	2.95977961845067e-07
326	2.81607172679942e-07
326.2	2.65988476149767e-07
326.4	2.49941877057349e-07
326.6	2.34168947061671e-07
326.8	2.19216863803236e-07
327	2.05471071588993e-07
327.2	1.93168658226023e-07
327.4	1.82422553878456e-07
327.6	1.73248146114768e-07
327.8	1.65586631892594e-07
328	1.59322191375698e-07
328.2	1.54292136970949e-07
328.4	1.5029102326941e-07
328.6	1.47073668236321e-07
328.8	1.44359670846773e-07
329	1.41845423683883e-07
329.2	1.39228986881149e-07
329.4	1.36248870911624e-07
329.6	1.32730143693743e-07
329.8	1.28623184217494e-07
330	1.24018168582302e-07
330.2	1.19126351209595e-07
330.4	1.14234340274936e-07
330.6	1.09650520606316e-07
330.8	1.05661166621282e-07
331	1.02506861591255e-07
331.2	1.00379073218568e-07
331.4	1e-07
331.6	1e-07
331.8	1.01570372153696e-07
332	1.04890320367313e-07
332.2	1.09851678597475e-07
332.4	1.16526802938078e-07
332.6	1.24913664730659e-07
332.8	1.348706892176e-07
333	1.46040915465363e-07
333.2	1.57798831439195e-07
333.4	1.69272824702814e-07
333.6	1.79483704385693e-07
333.8	1.87570727775741e-07
334	1.92987110938793e-07
334.2	1.95534432743542e-07
334.4	1.9521391187229e-07
334.6	1.920138618537e-07
334.8	1.85801324434148e-07
335	1.76426240536557e-07
335.2	1.64005219933032e-07
335.4	1.49186199647655e-07
335.6	1.33147057840588e-07
335.8	1.17274711170709e-07
336	1.027476561315e-07
336.2	1e-07
336.4	1e-07
336.6	1e-07
336.8	1e-07
337	1e-07
337.2	1e-07
337.4	1e-07
337.6	1e-07
337.8	1e-07
338	1e-07
338.2	1e-07
338.4	1e-07
338.6	1e-07
338.8	1e-07
339	1e-07
339.2	1e-07
339.4	1e-07
339.6	1e-07
339.8	1e-07
340	1e-07
340.2	1e-07
340.4	1e-07
340.6	1e-07
340.8	1e-07
341	1e-07
341.2	1e-07
341.4	1e-07
341.6	1e-07
341.8	1e-07
342	1e-07
342.2	1e-07
342.4	1e-07
342.6	1e-07
342.8	1e-07
343	1e-07
343.2	1e-07
343.4	1e-07
343.6	1e-07
343.8	1e-07
344	1e-07
344.2	1e-07
344.4	1e-07
344.6	1e-07
344.8	1e-07
345	1e-07
345.2	1e-07
345.4	1e-07
345.6	1e-07
345.8	1e-07
346	1e-07
346.2	1e-07
346.4	1e-07
346.6	1e-07
346.8	1e-07
347	1e-07
347.2	1e-07
347.4	1e-07
347.6	1e-07
347.8	1e-07
348	1e-07
348.2	1e-07
348.4	1e-07
348.6	1e-07
348.8	1e-07
349	1e-07
349.2	1e-07
349.4	1e-07
349.6	1e-07
349.8	1e-07
350	1e-07
350.2	1e-07
350.4	1e-07
350.6	1e-07
350.8	1e-07
351	1e-07
351.2	1e-07
351.4	1e-07
351.6	1e-07
351.8	1e-07
352	1e-07
352.2	1e-07
352.4	1e-07
352.6	1e-07
352.8	1e-07
353	1e-07
353.2	1e-07
353.4	1e-07
353.6	1e-07
353.8	1e-07
354	1e-07
354.2	1e-07
354.4	1e-07
354.6	1e-07
354.8	1e-07
355	1e-07
355.2	1e-07
355.4	1e-07
355.6	1e-07
355.8	1e-07
356	1e-07
356.2	1e-07
356.4	1e-07
356.6	1e-07
356.8	1e-07
357	1e-07
357.2	1e-07
357.4	1e-07
357.6	1e-07
357.8	1e-07
358	1e-07
358.2	1e-07
358.4	1e-07
358.6	1e-07
358.8	1e-07
359	1e-07
359.2	1e-07
359.4	1e-07
359.6	1e-07
359.8	1e-07
