Theoretical Spectrum of Semrock FF01-460/14 Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
300	1e-07
300.2	1e-07
300.4	1e-07
300.6	1e-07
300.8	1e-07
301	1e-07
301.2	1e-07
301.4	1e-07
301.6	1e-07
301.8	1e-07
302	1e-07
302.2	1e-07
302.4	1e-07
302.6	1e-07
302.8	1e-07
303	1e-07
303.2	1e-07
303.4	1e-07
303.6	1e-07
303.8	1e-07
304	1e-07
304.2	1e-07
304.4	1e-07
304.6	1e-07
304.8	1e-07
305	1e-07
305.2	1e-07
305.4	1e-07
305.6	1e-07
305.8	1e-07
306	1e-07
306.2	1e-07
306.4	1e-07
306.6	1e-07
306.8	1e-07
307	1e-07
307.2	1e-07
307.4	1e-07
307.6	1e-07
307.8	1e-07
308	1e-07
308.2	1e-07
308.4	1e-07
308.6	1e-07
308.8	1e-07
309	1e-07
309.2	1e-07
309.4	1e-07
309.6	1e-07
309.8	1e-07
310	1e-07
310.2	1e-07
310.4	1e-07
310.6	1e-07
310.8	1e-07
311	1e-07
311.2	1e-07
311.4	1e-07
311.6	1e-07
311.8	1e-07
312	1e-07
312.2	1e-07
312.4	1e-07
312.6	1e-07
312.8	1e-07
313	1e-07
313.2	1e-07
313.4	1e-07
313.6	1e-07
313.8	1e-07
314	1e-07
314.2	1e-07
314.4	1e-07
314.6	1e-07
314.8	1e-07
315	1e-07
315.2	1e-07
315.4	1e-07
315.6	1e-07
315.8	1e-07
316	1e-07
316.2	1e-07
316.4	1e-07
316.6	1e-07
316.8	1e-07
317	1e-07
317.2	1e-07
317.4	1e-07
317.6	1e-07
317.8	1e-07
318	1e-07
318.2	1e-07
318.4	1e-07
318.6	1e-07
318.8	1e-07
319	1e-07
319.2	1e-07
319.4	1e-07
319.6	1e-07
319.8	1e-07
320	1e-07
320.2	1e-07
320.4	1e-07
320.6	1e-07
320.8	1e-07
321	1e-07
321.2	1e-07
321.4	1e-07
321.6	1e-07
321.8	1e-07
322	1e-07
322.2	1e-07
322.4	1e-07
322.6	1e-07
322.8	1e-07
323	1e-07
323.2	1e-07
323.4	1e-07
323.6	1e-07
323.8	1e-07
324	1e-07
324.2	1e-07
324.4	1e-07
324.6	1e-07
324.8	1e-07
325	1e-07
325.2	1e-07
325.4	1e-07
325.6	1e-07
325.8	1e-07
326	1e-07
326.2	1e-07
326.4	1e-07
326.6	1e-07
326.8	1e-07
327	1e-07
327.2	1e-07
327.4	1e-07
327.6	1e-07
327.8	1e-07
328	1e-07
328.2	1e-07
328.4	1e-07
328.6	1e-07
328.8	1e-07
329	1e-07
329.2	1e-07
329.4	1e-07
329.6	1e-07
329.8	1e-07
330	1e-07
330.2	1e-07
330.4	1e-07
330.6	1e-07
330.8	1e-07
331	1e-07
331.2	1e-07
331.4	1.1252899734594e-07
331.6	1.37794774410545e-07
331.8	1.69150923584491e-07
332	2.0815285016253e-07
332.2	2.56748651201575e-07
332.4	3.17424681208591e-07
332.6	3.93454722311902e-07
332.8	4.89308059695831e-07
333	6.11269040896283e-07
333.2	7.68288703979766e-07
333.4	9.73041020864978e-07
333.6	1.24311091776885e-06
333.8	1.60219608244326e-06
334	2.08113983511849e-06
334.2	2.71850037731865e-06
334.4	3.56017627516788e-06
334.6	4.65745830796613e-06
334.8	6.06281930210521e-06
335	7.82354816443835e-06
335.2	9.97489735390397e-06
335.4	1.25350013335573e-05
335.6	1.5501693601268e-05
335.8	1.88498894809278e-05
336	2.25338542023332e-05
336.2	2.65060615925625e-05
336.4	3.07540354899911e-05
336.6	3.53278014701175e-05
336.8	4.03178502830893e-05
337	4.57735089518323e-05
337.2	5.15953876830518e-05
337.4	5.74591645844624e-05
337.6	6.28261509734711e-05
337.8	6.70753368587561e-05
338	6.97548006081624e-05
338.2	7.08662441822125e-05
338.4	7.0980667989605e-05
338.6	7.10444339035234e-05
338.8	7.20135007538951e-05
339	7.45675946827059e-05
339.2	7.89748131476135e-05
339.4	8.50550331639801e-05
339.6	9.2296563558395e-05
339.8	0.000100251462532483
340	0.000109038627881129
340.2	0.00011942613425657
340.4	0.000132188490560553
340.6	0.00014684427505869
340.8	0.000160069863903242
341	0.000165255109321628
341.2	0.000156338812775652
341.4	0.000134507918774072
341.6	0.000108062579859266
341.8	8.47866276996802e-05
342	6.77887154686765e-05
342.2	5.69351015719466e-05
342.4	5.11416959334246e-05
342.6	4.95018752792693e-05
342.8	5.15500135762713e-05
343	5.71147670413454e-05
343.2	6.58725135040026e-05
343.4	7.65739028145327e-05
343.6	8.60311682075782e-05
343.8	8.8221805795127e-05
344	7.64682897752134e-05
344.2	5.32211228483647e-05
344.4	3.0988327295008e-05
344.6	1.6592571202191e-05
344.8	8.78533187413973e-06
345	4.77907804804065e-06
345.2	2.72243755712658e-06
345.4	1.64047033386456e-06
345.6	1.05027824417504e-06
345.8	7.1384164980245e-07
346	5.11439439080386e-07
346.2	3.80618561702445e-07
346.4	2.87652249343489e-07
346.6	2.15075672603407e-07
346.8	1.56164642520899e-07
347	1.10084164094472e-07
347.2	1e-07
347.4	1e-07
347.6	1e-07
347.8	1e-07
348	1e-07
348.2	1e-07
348.4	1e-07
348.6	1e-07
348.8	1e-07
349	1e-07
349.2	1e-07
349.4	1e-07
349.6	1e-07
349.8	1e-07
350	1e-07
350.2	1e-07
350.4	1e-07
350.6	1e-07
350.8	1e-07
351	1e-07
351.2	1e-07
351.4	1e-07
351.6	1e-07
351.8	1e-07
352	1e-07
352.2	1e-07
352.4	1e-07
352.6	1e-07
352.8	1e-07
353	1e-07
353.2	1e-07
353.4	1e-07
353.6	1e-07
353.8	1e-07
354	1e-07
354.2	1e-07
354.4	1e-07
354.6	1e-07
354.8	1e-07
355	1e-07
355.2	1e-07
355.4	1e-07
355.6	1e-07
355.8	1e-07
356	1e-07
356.2	1e-07
356.4	1e-07
356.6	1e-07
356.8	1e-07
357	1e-07
357.2	1e-07
357.4	1e-07
357.6	1e-07
357.8	1e-07
358	1e-07
358.2	1e-07
358.4	1e-07
358.6	1e-07
358.8	1e-07
