Theoretical Spectrum of Semrock FF01-468/SP Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
300	9.70811621204868e-07
300.2	1.30424501846754e-06
300.4	1.4951475692525e-06
300.6	1.36694013230676e-06
300.8	1.16467461966084e-06
301	1.09073119039191e-06
301.2	1.20180318153985e-06
301.4	1.57300821713188e-06
301.6	2.36400860786328e-06
301.8	3.60488917785002e-06
302	4.35216397948695e-06
302.2	3.78316256918859e-06
302.4	2.94339637534339e-06
302.6	2.46581896598002e-06
302.8	2.38511809726709e-06
303	2.72673370302999e-06
303.2	3.69642508255629e-06
303.4	5.73503989855723e-06
303.6	8.74994287197092e-06
303.8	9.99474431610826e-06
304	8.48852965345019e-06
304.2	6.90159890926427e-06
304.4	6.15999849584363e-06
304.6	6.25895330403323e-06
304.8	7.34206745195837e-06
305	1.00718261752966e-05
305.2	1.61258768570938e-05
305.4	2.75401495365975e-05
305.6	3.69473563317345e-05
305.8	3.2484696998517e-05
306	2.53870132714004e-05
306.2	2.19675956631187e-05
306.4	2.19385374999996e-05
306.6	2.51450347835677e-05
306.8	3.26822028994582e-05
307	4.68325746656253e-05
307.2	6.7498913546184e-05
307.4	8.16684139461662e-05
307.6	7.69773941788698e-05
307.8	6.62769578486684e-05
308	6.05657671447813e-05
308.2	6.1667390331654e-05
308.4	6.96323096705378e-05
308.6	8.46280523654345e-05
308.8	0.000105084304188356
309	0.000124169874555728
309.2	0.000132251365352266
309.4	0.000128731863688188
309.6	0.000122448822655886
309.8	0.000120912240647075
310	0.000127326355128727
310.2	0.000142178066148521
310.4	0.000162833545417495
310.6	0.000181914756184997
310.8	0.00019072328800906
311	0.000188026455278524
311.2	0.000180736759183963
311.4	0.000176441159600628
311.6	0.000179922041060003
311.8	0.000193954937905276
312	0.000219532075777574
312.2	0.000252794512441136
312.4	0.000280269070456203
312.6	0.000285096175863502
312.8	0.000266893443445182
313	0.000241263946738816
313.2	0.000221052004984766
313.4	0.000211121031826147
313.6	0.000212816897126903
