Theoretical Spectrum of Semrock FF562-Di03 Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
300	1e-07
300.2	1e-07
300.4	1e-07
300.6	1e-07
300.8	1e-07
301	1e-07
301.2	1e-07
301.4	1e-07
301.6	1e-07
301.8	1e-07
302	1e-07
302.2	1e-07
302.4	1e-07
302.6	1e-07
302.8	1e-07
303	1e-07
303.2	1e-07
303.4	1e-07
303.6	1e-07
303.8	1e-07
304	1e-07
304.2	1e-07
304.4	1e-07
304.6	1e-07
304.8	1e-07
305	1e-07
305.2	1e-07
305.4	1e-07
305.6	1e-07
305.8	1e-07
306	1e-07
306.2	1e-07
306.4	1e-07
306.6	1e-07
306.8	1e-07
307	1e-07
307.2	1e-07
307.4	1e-07
307.6	1e-07
307.8	1e-07
308	1e-07
308.2	1e-07
308.4	1e-07
308.6	1e-07
308.8	1e-07
309	1e-07
309.2	1e-07
309.4	1e-07
309.6	1e-07
309.8	1e-07
310	1e-07
310.2	1e-07
310.4	1e-07
310.6	1e-07
310.8	1e-07
311	1e-07
311.2	1e-07
311.4	1e-07
311.6	1e-07
311.8	1e-07
312	1e-07
312.2	1e-07
312.4	1e-07
312.6	1e-07
312.8	1e-07
313	1e-07
313.2	1e-07
313.4	1e-07
313.6	1e-07
313.8	1e-07
314	1e-07
314.2	1e-07
314.4	1e-07
314.6	1e-07
314.8	1e-07
315	1e-07
315.2	1e-07
315.4	1e-07
315.6	1e-07
315.8	1e-07
316	1e-07
316.2	1e-07
316.4	1e-07
316.6	1e-07
316.8	1e-07
317	1e-07
317.2	1e-07
317.4	1e-07
317.6	1e-07
317.8	1e-07
318	1e-07
318.2	1e-07
318.4	1e-07
318.6	1e-07
318.8	1e-07
319	1e-07
319.2	1e-07
319.4	1e-07
319.6	1e-07
319.8	1e-07
320	1e-07
320.2	1e-07
320.4	1e-07
320.6	1e-07
320.8	1e-07
321	1e-07
321.2	1e-07
321.4	1e-07
321.6	1e-07
321.8	1e-07
322	1e-07
322.2	1e-07
322.4	1e-07
322.6	1e-07
322.8	1e-07
323	1e-07
323.2	1e-07
323.4	1e-07
323.6	1e-07
323.8	1e-07
324	1e-07
324.2	1e-07
324.4	1e-07
324.6	1e-07
324.8	1e-07
325	1e-07
325.2	1e-07
325.4	1e-07
325.6	1e-07
325.8	1e-07
326	1e-07
326.2	1e-07
326.4	1e-07
326.6	1e-07
326.8	1e-07
327	1e-07
327.2	1e-07
327.4	1e-07
327.6	1e-07
327.8	1e-07
328	1e-07
328.2	1e-07
328.4	1e-07
328.6	1e-07
328.8	1e-07
329	1e-07
329.2	1e-07
329.4	1e-07
329.6	1e-07
329.8	1e-07
330	1e-07
330.2	1e-07
330.4	1e-07
330.6	1e-07
330.8	1e-07
331	1e-07
331.2	1e-07
331.4	1e-07
331.6	1e-07
331.8	1.29130213230843e-07
332	2.14669698618124e-07
332.2	3.61800819637443e-07
332.4	6.2376984886898e-07
332.6	1.10741357298063e-06
332.8	1.99454441782632e-06
333	3.42573341136242e-06
333.2	5.08842631985156e-06
333.4	6.35139947355419e-06
333.6	7.3020610480054e-06
333.8	8.60540172066995e-06
334	1.10302542688777e-05
334.2	1.57751942717199e-05
334.4	2.55004738233078e-05
334.6	4.71236428439527e-05
334.8	0.000101046670311403
335	0.000256461776611611
335.2	0.000777875858016964
335.4	0.00244482147233636
335.6	0.00399856182027163
335.8	0.0030570649905963
336	0.00218766320585632
336.2	0.00177851226587801
336.4	0.00170091496851386
336.6	0.00198669448325649
336.8	0.00306054089543653
337	0.00765264874514711
337.2	0.0717130112585206
337.4	0.0203431401761173
337.6	0.00435793264076711
337.8	0.00224800596043607
338	0.00192375435128903
338.2	0.0029514475254985
338.4	0.0147622658048812
338.6	0.00221134133081972
338.8	0.00031861513860576
339	9.1458237520798e-05
339.2	3.58335263334402e-05
339.4	1.68810496307855e-05
339.6	9.02799795058442e-06
339.8	5.31272854935823e-06
340	3.37560826657775e-06
340.2	2.28726364723461e-06
340.4	1.63876084978056e-06
340.6	1.23404765819683e-06
340.8	9.72482376396692e-07
341	7.99491381721886e-07
341.2	6.84205642608571e-07
341.4	6.08689639823436e-07
341.6	5.62517165638015e-07
341.8	5.39993067776011e-07
342	5.3881194906182e-07
342.2	5.59645641547395e-07
342.4	6.06566242101566e-07
342.6	6.88615709613755e-07
342.8	8.23560604611422e-07
343	1.04671693248032e-06
343.2	1.43342574609486e-06
343.4	2.16476891244986e-06
343.6	3.76379135569526e-06
343.8	8.27509099064008e-06
344	3.03959096959765e-05
344.2	0.00145902500796445
344.4	5.85271531627391e-05
344.6	1.4190603721398e-05
344.8	6.82187470603893e-06
345	4.33586812434172e-06
345.2	3.23467363582649e-06
345.4	2.69166067481229e-06
345.6	2.43377926202629e-06
345.8	2.35604451196978e-06
346	2.42062254272988e-06
346.2	2.62600392147014e-06
346.4	3.00015934354966e-06
346.6	3.60707834657592e-06
346.8	4.56820989590362e-06
347	6.11083430421727e-06
347.2	8.67636546333833e-06
347.4	1.31788803717785e-05
347.6	2.16864585768281e-05
347.8	3.94772583323656e-05
348	8.2546292015822e-05
348.2	0.000214199480126122
348.4	0.000837967203541701
348.6	0.00728574222691061
348.8	0.00303051834147078
349	0.00099424387453646
349.2	0.000572538363306718
349.4	0.000419813270418086
349.6	0.000347399943357079
349.8	0.000313129733357858
350	0.000473578237286289
350.2	0.000275346781347957
350.4	0.000264988268534426
350.6	0.000270612061394588
350.8	0.000292272386764578
351	0.000336129240863858
351.2	0.000415301773318261
351.4	0.000557504120243153
351.6	0.00082639188099211
351.8	0.00138975156212591
352	0.00283560013401227
352.2	0.0114828052293504
352.4	0.0125498600693575
352.6	0.0139314061169938
352.8	0.00965455601110089
353	0.00727369384325575
353.2	0.00664813595328957
353.4	0.00726878936285061
353.6	0.00913258082014817
353.8	0.0117725264519333
354	0.0121745203092043
354.2	0.0089902597480251
354.4	0.00588896712134376
354.6	0.00413463361190902
354.8	0.003259871245504
355	0.00279455438475655
355.2	0.00266560145406129
355.4	0.00285956450488077
