Theoretical Spectrum of Semrock LM01-480 Optical Filter
The spectrum described by the following ASCII data represents a typical optical filter design for this product.
However, note that from time to time Semrock makes minor modifications to its optical filter designs for purposes such as improved
manufacturability that do not affect the ability for the filter to meet its stated specifications.
 
Wavelength	Transmission
300	1e-07
300.2	1e-07
300.4	1e-07
300.6	1e-07
300.8	1e-07
301	1e-07
301.2	1e-07
301.4	1e-07
301.6	1e-07
301.8	1e-07
302	1e-07
302.2	1e-07
302.4	1e-07
302.6	1e-07
302.8	1e-07
303	1e-07
303.2	1e-07
303.4	1e-07
303.6	1e-07
303.8	1e-07
304	1e-07
304.2	1e-07
304.4	1e-07
304.6	1e-07
304.8	1e-07
305	1e-07
305.2	1e-07
305.4	1e-07
305.6	1e-07
305.8	1e-07
306	1e-07
306.2	1e-07
306.4	1e-07
306.6	1e-07
306.8	1e-07
307	1e-07
307.2	1e-07
307.4	1e-07
307.6	1e-07
307.8	1e-07
308	1e-07
308.2	1e-07
308.4	1e-07
308.6	1e-07
308.8	1e-07
309	1e-07
309.2	1e-07
309.4	1e-07
309.6	1e-07
309.8	1e-07
310	1e-07
310.2	1e-07
310.4	1e-07
310.6	1e-07
310.8	1e-07
311	1e-07
311.2	1e-07
311.4	1e-07
311.6	1e-07
311.8	1e-07
312	1e-07
312.2	1e-07
312.4	1e-07
312.6	1e-07
312.8	1e-07
313	1e-07
313.2	1e-07
313.4	1e-07
313.6	1e-07
313.8	1e-07
314	1e-07
314.2	1e-07
314.4	1e-07
314.6	1e-07
314.8	1e-07
315	1e-07
315.2	1e-07
315.4	1e-07
315.6	1e-07
315.8	1e-07
316	1e-07
316.2	1e-07
316.4	1e-07
316.6	1e-07
316.8	1e-07
317	1e-07
317.2	1e-07
317.4	1e-07
317.6	1e-07
317.8	1e-07
318	1e-07
318.2	1e-07
318.4	1e-07
318.6	1e-07
318.8	1e-07
319	1e-07
319.2	1e-07
319.4	1e-07
319.6	1e-07
319.8	1e-07
320	1e-07
320.2	1e-07
320.4	1e-07
320.6	1e-07
320.8	1e-07
321	1e-07
321.2	1e-07
321.4	1e-07
321.6	1e-07
321.8	1e-07
322	1e-07
322.2	1e-07
322.4	1e-07
322.6	1e-07
322.8	1e-07
323	1e-07
323.2	1e-07
323.4	1.00011843849418e-07
323.6	1.3518418668323e-07
323.8	1.81667211565486e-07
324	2.42700425013357e-07
324.2	3.2232069239742e-07
324.4	4.25517457681364e-07
324.6	5.58414981327564e-07
324.8	7.28479128786584e-07
325	9.44749118168552e-07
325.2	1.21809593997437e-06
325.4	1.56150893198786e-06
325.6	1.9904132089562e-06
325.8	2.52302258453713e-06
326	3.18073449743915e-06
326.2	3.98856148908543e-06
326.4	4.9755682596788e-06
326.6	6.17539400949967e-06
326.8	7.62679005544319e-06
327	9.37413113695975e-06
327.2	1.1467860441814e-05
327.4	1.39648251836052e-05
327.6	1.6928488910547e-05
327.8	2.04290651225821e-05
328	2.45436947300398e-05
328.2	2.93567912290324e-05
328.4	3.49605927211326e-05
328.6	4.14565715910791e-05
328.8	4.89572963975425e-05
329	5.75883509708909e-05
329.2	6.74896509823013e-05
329.4	7.88152270418931e-05
329.6	9.17305663346835e-05
329.8	0.000106407010859248
330	0.000123013557717657
330.2	0.00014170738354325
330.4	0.000162625476087709
330.6	0.000185883389840353
330.8	0.000211583412099651
331	0.000239833818244494
331.2	0.000270777335918885
331.4	0.000304622243858253
331.6	0.000341665957060011
331.8	0.000382300262634936
332	0.000426989372397955
332.2	0.000476215574872223
332.4	0.000530392663420378
332.6	0.000589762690856069
332.8	0.000654293045167092
333	0.000723609130391881
333.2	0.000797007935074075
333.4	0.000873590406549585
333.6	0.000952516836891908
333.8	0.00103333474977337
334	0.00111627972659285
334.2	0.00120244082189119
334.4	0.00129372534232764
334.6	0.00139263454499901
334.8	0.00150188157606725
335	0.00162388980145347
335.2	0.00176018927593614
335.4	0.00191073668654598
335.6	0.00207326680473295
335.8	0.00224293762156495
336	0.00241267628458681
336.2	0.00257456539169461
336.4	0.00272215355052584
336.6	0.00285290080993918
336.8	0.00296959463299599
337	0.00308008395959155
337.2	0.00319566801731366
337.4	0.00332906276939121
337.6	0.00349266074332356
337.8	0.00369717072687998
338	0.00395020571401408
338.2	0.0042542116494453
338.4	0.0046033923043627
338.6	0.00498022391113269
338.8	0.0053537960663343
339	0.00568375004249326
339.2	0.00593215117843702
339.4	0.00607933151301635
339.6	0.00613360006451825
339.8	0.00612788326901273
340	0.00610712560378445
340.2	0.00611600026400951
340.4	0.00619265135702822
340.6	0.00636802263511278
340.8	0.00666743516783996
341	0.00711107295349041
341.2	0.00771046607900257
341.4	0.0084582391693997
341.6	0.00931017730957057
341.8	0.0101665246605552
342	0.0108747771819565
342.2	0.0112801411942902
342.4	0.0113086391177914
342.6	0.0110122252904615
342.8	0.0105322703477417
343	0.0100245847046147
343.2	0.0096098167941163
343.4	0.00936521535256184
343.6	0.00933889160011837
343.8	0.00956755395135904
344	0.0100892172993774
344.2	0.010947694226735
344.4	0.0121837123546878
344.6	0.0138006510917012
344.8	0.0156908485341828
345	0.0175448022367512
345.2	0.0188642671483004
345.4	0.0192060589323001
345.6	0.0184986864650601
345.8	0.0170850806164299
346	0.0154554155093226
346.2	0.0139816151181703
346.4	0.0128508486411093
346.6	0.0121268374814844
346.8	0.0118247695760451
347	0.0119601216382661
347.2	0.0125755206119439
347.4	0.0137551361767031
347.6	0.015624424563279
347.8	0.0183054256701549
348	0.0217555986628518
348.2	0.025477183178363
348.4	0.0284391793697628
348.6	0.0295183207626932
348.8	0.0281734600537819
349	0.0250290156133441
349.2	0.0213880134777582
349.4	0.0181962351402143
349.6	0.0157879960348647
349.8	0.0141616120205824
350	0.0132253053727157
350.2	0.0129090284383949
350.4	0.0132056116304809
350.6	0.0141928761964227
350.8	0.0160559155842633
351	0.0190817701443483
351.2	0.0234640406119857
351.4	0.0287332741391979
351.6	0.0339120790574726
351.8	0.0382736894775939
352	0.0395637552413844
352.2	0.0358665805362213
352.4	0.0293045157812932
352.6	0.0230529845637952
352.8	0.0183654291979886
353	0.0151952662970809
353.2	0.0131913329968432
353.4	0.0120649313300644
353.6	0.0116577985386146
353.8	0.0119469419864173
