Wavelength	od	Transmission
1200	5.57895	2.64E-04
1199.5	5.81099	1.55E-04
1199	6.01858	9.58E-05
1198.5	5.39085	4.07E-04
1198	5.59195	2.56E-04
1197.5	6.00037	9.99E-05
1197	6.10016	7.94E-05
1196.5	6.1675	6.80E-05
1196	6.23483	5.82E-05
1195.5	5.72074	1.90E-04
1195	5.55864	2.76E-04
1194.5	5.58117	2.62E-04
1194	6.21905	6.04E-05
1193.5	7.13544	7.32E-06
1193	7.07774	8.36E-06
1192.5	7.02005	9.55E-06
1192	5.98826	1.03E-04
1191.5	5.84704	1.42E-04
1191	5.70581	1.97E-04
1190.5	5.92135	1.20E-04
1190	5.76527	1.72E-04
1189.5	5.75342	1.76E-04
1189	5.57065	2.69E-04
1188.5	5.68651	2.06E-04
1188	7.30407	4.97E-06
1187.5	7.47546	3.35E-06
1187	7.42829	3.73E-06
1186.5	7.38112	4.16E-06
1186	6.24114	5.74E-05
1185.5	6.48022	3.31E-05
1185	6.99752	1.01E-05
1184.5	6.17908	6.62E-05
1184	6.53899	2.89E-05
1183.5	6.56519	2.72E-05
1183	6.59139	2.56E-05
1182.5	7.3463	4.51E-06
1182	7.1518	7.05E-06
1181.5	6.95731	1.10E-05
1181	5.81342	1.54E-04
1180.5	6.25365	5.58E-05
1180	6.10941	7.77E-05
1179.5	6.52154	3.01E-05
1179	6.307	4.93E-05
1178.5	6.09245	8.08E-05
1178	5.91729	1.21E-04
1177.5	5.74212	1.81E-04
1177	6.42893	3.72E-05
1176.5	7.31568	4.83E-06
1176	7.30365	4.97E-06
1175.5	7.29162	5.11E-06
1175	6.38081	4.16E-05
1174.5	6.45997	3.47E-05
1174	6.05587	8.79E-05
1173.5	6.17882	6.62E-05
1173	5.95001	1.12E-04
1172.5	7.41005	3.89E-06
1172	6.4811	3.30E-05
1171.5	7.28464	5.19E-06
1171	7.13228	7.37E-06
1170.5	6.97992	1.05E-05
1170	5.87166	1.34E-04
1169.5	6.04302	9.06E-05
1169	6.52754	2.97E-05
1168.5	7.01205	9.73E-06
1168	6.76631	1.71E-05
1167.5	6.52057	3.02E-05
1167	6.33551	4.62E-05
1166.5	6.15045	7.07E-05
1166	6.19013	6.45E-05
1165.5	7.22282	5.99E-06
1165	7.38326	4.14E-06
1164.5	7.10757	7.81E-06
1164	6.83189	1.47E-05
1163.5	6.52691	2.97E-05
1163	6.22194	6.00E-05
1162.5	5.72607	1.88E-04
1162	6.33392	4.64E-05
1161.5	6.11472	7.68E-05
1161	7.15238	7.04E-06
1160.5	7.28505	5.19E-06
1160	7.41773	3.82E-06
1159.5	6.64543	2.26E-05
1159	6.29217	5.10E-05
1158.5	6.12131	7.56E-05
1158	7.1037	7.88E-06
1157.5	7.12913	7.43E-06
1157	7.15456	7.01E-06
1156.5	6.22304	5.98E-05
1156	5.8469	1.42E-04
1155.5	5.8617	1.37E-04
1155	5.87287	1.34E-04
1154.5	6.94823	1.13E-05
1154	7.03539	9.22E-06
1153.5	7.12254	7.54E-06
1153	6.2215	6.00E-05
1152.5	7.30797	4.92E-06
1152	5.62135	2.39E-04
1151.5	5.71268	1.94E-04
1151	6.1039	7.87E-05
1150.5	6.13314	7.36E-05
1150	7.07107	8.49E-06
1149.5	7.0135	9.69E-06
1149	6.95593	1.11E-05
1148.5	5.90287	1.25E-04
1148	6.1061	7.83E-05
1147.5	6.68539	2.06E-05
1147	7.3983	4.00E-06
1146.5	7.16682	6.81E-06
1146	6.93535	1.16E-05
1145.5	5.75948	1.74E-04
1145	6.11714	7.64E-05
1144.5	5.86529	1.36E-04
1144	6.82141	1.51E-05
1143.5	6.74385	1.80E-05
1143	5.55506	2.79E-04
1142.5	6.90255	1.25E-05
1142	6.41434	3.85E-05
1141.5	5.92612	1.19E-04
1141	7.45383	3.52E-06
1140.5	7.49532	3.20E-06
1140	7.49733	3.18E-06
1139.5	7.49935	3.17E-06
1139	7.49347	3.21E-06
1138.5	5.98955	1.02E-04
1138	5.53016	2.95E-04
1137.5	5.58972	2.57E-04
1137	5.92601	1.19E-04
1136.5	6.26434	5.44E-05
1136	6.6517	2.23E-05
1135.5	7.03906	9.14E-06
1135	6.83779	1.45E-05
1134.5	6.63652	2.31E-05
1134	5.57285	2.67E-04
1133.5	6.14381	7.18E-05
1133	7.33168	4.66E-06
1132.5	7.45553	3.50E-06
1132	7.47448	3.35E-06
1131.5	7.49343	3.21E-06
1131	7.24611	5.67E-06
1130.5	5.59378	2.55E-04
1130	5.86907	1.35E-04
1129.5	7.41817	3.82E-06
1129	7.49833	3.17E-06
1128.5	7.49669	3.19E-06
1128	7.49504	3.20E-06
1127.5	7.34615	4.51E-06
1127	5.75383	1.76E-04
1126.5	5.86744	1.36E-04
1126	7.41715	3.83E-06
1125.5	7.49361	3.21E-06
1125	7.49117	3.23E-06
1124.5	7.45717	3.49E-06
1124	7.28117	5.23E-06
1123.5	6.05381	8.83E-05
1123	5.47343	3.36E-04
1122.5	6.08146	8.29E-05
1122	7.31762	4.81E-06
1121.5	7.21259	6.13E-06
1121	7.10756	7.81E-06
1120.5	7.45937	3.47E-06
1120	7.08807	8.16E-06
1119.5	5.62236	2.39E-04
1119	5.6432	2.27E-04
1118.5	7.277	5.28E-06
1118	7.48422	3.28E-06
1117.5	7.49431	3.20E-06
1117	7.48208	3.30E-06
1116.5	7.43934	3.64E-06
1116	7.00846	9.81E-06
1115.5	5.61391	2.43E-04
1115	5.96218	1.09E-04
1114.5	7.47636	3.34E-06
1114	7.49805	3.18E-06
1113.5	7.49493	3.20E-06
1113	7.49181	3.22E-06
1112.5	7.2324	5.86E-06
1112	5.57184	2.68E-04
1111.5	5.76923	1.70E-04
1111	6.77979	1.66E-05
1110.5	6.14004	7.24E-05
1110	7.16803	6.79E-06
1109.5	7.29404	5.08E-06
1109	7.42005	3.80E-06
1108.5	6.64407	2.27E-05
1108	5.35173	4.45E-04
1107.5	5.48417	3.28E-04
1107	6.19038	6.45E-05
1106.5	7.39189	4.06E-06
1106	7.46817	3.40E-06
1105.5	7.47955	3.31E-06
1105	7.49093	3.23E-06
1104.5	6.36646	4.30E-05
1104	5.43397	3.68E-04
1103.5	5.47535	3.35E-04
1103	5.97487	1.06E-04
1102.5	6.96549	1.08E-05
1102	6.93415	1.16E-05
1101.5	6.90281	1.25E-05
1101	5.84953	1.41E-04
1100.5	5.41955	3.81E-04
1100	6.4604	3.46E-05
1099.5	5.90784	1.24E-04
1099	7.34179	4.55E-06
1098.5	7.3815	4.15E-06
1098	7.42122	3.79E-06
1097.5	6.92629	1.18E-05
1097	5.57178	2.68E-04
1096.5	5.41883	3.81E-04
1096	5.82263	1.50E-04
1095.5	7.13993	7.25E-06
1095	7.49057	3.23E-06
1094.5	7.45552	3.50E-06
1094	7.22519	5.95E-06
1093.5	5.44722	3.57E-04
1093	5.42429	3.76E-04
1092.5	6.3025	4.98E-05
1092	7.29822	5.03E-06
1091.5	7.4409	3.62E-06
1091	7.15708	6.97E-06
1090.5	6.87325	1.34E-05
1090	5.48322	3.29E-04
1089.5	5.5077	3.11E-04
1089	6.02111	9.53E-05
1088.5	7.26653	5.41E-06
1088	7.45807	3.48E-06
1087.5	7.46462	3.43E-06
1087	7.28465	5.19E-06
1086.5	6.05333	8.84E-05
1086	5.45718	3.49E-04
1085.5	5.59878	2.52E-04
1085	7.24924	5.63E-06
1084.5	7.44155	3.62E-06
1084	7.49468	3.20E-06
1083.5	7.47821	3.33E-06
1083	7.18337	6.56E-06
1082.5	5.4934	3.21E-04
1082	5.33503	4.62E-04
1081.5	6.76499	1.72E-05
1081	7.48857	3.25E-06
1080.5	7.47115	3.38E-06
1080	7.45374	3.52E-06
1079.5	7.12638	7.48E-06
1079	5.4022	3.96E-04
1078.5	5.41457	3.85E-04
1078	5.70179	1.99E-04
1077.5	7.31362	4.86E-06
1077	7.44856	3.56E-06
1076.5	7.44929	3.55E-06
1076	7.31569	4.83E-06
1075.5	5.70511	1.97E-04
1075	5.43626	3.66E-04
1074.5	5.42741	3.74E-04
1074	7.14213	7.21E-06
