Wavelength	od	Transmission	
2600	-1.873637881	74.7545929	
2599	-1.873604681	74.74887848	
2598	-1.873064707	74.65599823	
2597	-1.872142218	74.49758911	
2596	-1.871607012	74.40583801	
2595	-1.871420786	74.37393951	
2594	-1.870777846	74.26391602	
2593	-1.870264675	74.17621613	
2592	-1.869715923	74.08255005	
2591	-1.86911148	73.97951508	
2590	-1.868371667	73.85359955	
2589	-1.8672352	73.66059113	
2588	-1.866837106	73.5931015	
2587	-1.866218676	73.48838043	
2586	-1.865228555	73.32102966	
2585	-1.864488792	73.19624329	
2584	-1.863807935	73.08158112	
2583	-1.862978765	72.94218445	
2582	-1.862860826	72.92237854	
2581	-1.86226091	72.82171631	
2580	-1.862098626	72.79450989	
2579	-1.861361624	72.67108154	
2578	-1.861065706	72.62158203	
2577	-1.860977	72.60675049	
2576	-1.860900327	72.59393311	
2575	-1.859781226	72.40711212	
2574	-1.858971238	72.27219391	
2573	-1.859511108	72.36209106	
2572	-1.858996866	72.27645874	
2571	-1.858628954	72.21525574	
2570	-1.858250351	72.15232849	
2569	-1.85765925	72.05419159	
2568	-1.857699485	72.06086731	
2567	-1.857072593	71.95692444	
2566	-1.856914162	71.93067932	
2565	-1.855559432	71.70664978	
2564	-1.855481889	71.69384766	
2563	-1.855491964	71.69551086	
2562	-1.85555994	71.7067337	
2561	-1.854898806	71.59765625	
2560	-1.854371378	71.51075745	
2559	-1.854820172	71.58469391	
2558	-1.853779981	71.41344452	
2557	-1.853352821	71.34323883	
2556	-1.853412079	71.35297394	
2555	-1.8529516	71.27735901	
2554	-1.852786496	71.25026703	
2553	-1.852364037	71.18099213	
2552	-1.851741743	71.07907104	
2551	-1.85109288	70.9729538	
2550	-1.851544607	71.04681396	
2549	-1.851057211	70.96712494	
2548	-1.851131114	70.97920227	
2547	-1.850742365	70.91569519	
2546	-1.850694004	70.90779877	
2545	-1.85000543	70.79546356	
2544	-1.850027426	70.79904938	
2543	-1.84906579	70.64245605	
2542	-1.849292792	70.67938995	
2541	-1.848665797	70.5774231	
2540	-1.848365185	70.52858734	
2539	-1.847652202	70.4128952	
2538	-1.847207287	70.34079742	
2537	-1.846268177	70.18885803	
2536	-1.846367819	70.20496368	
2535	-1.84500677	69.98529053	
2534	-1.844958855	69.97756958	
2533	-1.843466631	69.7375412	
2532	-1.843581738	69.75602722	
2531	-1.842078905	69.51506042	
2530	-1.841867079	69.48116302	
2529	-1.840800568	69.31074524	
2528	-1.83959368	69.11840057	
2527	-1.838844961	68.99934387	
2526	-1.838625739	68.96452332	
2525	-1.837107748	68.72389221	
2524	-1.835992301	68.54760742	
2523	-1.835787254	68.51525116	
2522	-1.835022104	68.39464569	
2521	-1.833652722	68.17932892	
2520	-1.833244304	68.115242	
2519	-1.832496731	67.99809265	
2518	-1.831866173	67.89943695	
2517	-1.830666558	67.71214294	
2516	-1.830127758	67.62818909	
2515	-1.82954085	67.5368576	
2514	-1.82839008	67.35813904	
2513	-1.828873799	67.43320465	
2512	-1.828610743	67.39237213	
2511	-1.828146566	67.32038116	
2510	-1.828255325	67.33724213	
2509	-1.82770229	67.25154877	
2508	-1.827826134	67.27072906	
2507	-1.827869329	67.27742004	
2506	-1.827936254	67.28778839	
2505	-1.828527448	67.37944794	
2504	-1.828155672	67.3217926	
2503	-1.827755941	67.25985718	
2502	-1.828845938	67.42887878	
2501	-1.827835542	67.27218628	
2500	-1.828549085	67.38280487	
2499	-1.829476624	67.52687073	
2498	-1.829357177	67.50830078	
2497	-1.829435504	67.52047729	
2496	-1.829272356	67.49511719	
2495	-1.829579606	67.54288483	
2494	-1.829914825	67.59503937	
2493	-1.829714784	67.56391144	
2492	-1.830093951	67.6229248	
2491	-1.830184833	67.63707733	
2490	-1.830211482	67.64122772	
2489	-1.830902257	67.74890137	
2488	-1.830138831	67.62991333	
2487	-1.830117518	67.62659454	
2486	-1.830889199	67.74686432	
2485	-1.830161024	67.63336945	
2484	-1.830541613	67.6926651	
2483	-1.830704823	67.71810913	
2482	-1.830243076	67.64614868	
2481	-1.830339656	67.66119385	
2480	-1.829379361	67.51174927	
2479	-1.82891743	67.43997955	
2478	-1.828996622	67.45227814	
2477	-1.827176471	67.17017365	
2476	-1.827077556	67.15487671	
2475	-1.825805493	66.95846558	
2474	-1.824872798	66.81481934	
2473	-1.824123678	66.69966888	
2472	-1.822014518	66.37652588	
2471	-1.821901738	66.35929108	
2470	-1.820137332	66.09024048	
2469	-1.818996729	65.91689301	
2468	-1.8176779	65.71702576	
2467	-1.815497601	65.38793182	
2466	-1.815382812	65.37065125	
2465	-1.814131997	65.18264771	
2464	-1.813456415	65.08132935	
2463	-1.813305334	65.05869293	
2462	-1.812249557	64.90072632	
2461	-1.812866406	64.99297333	
