Wavelength	od	Transmission	
200		3.056E-05	
201	4.540315065	2.882E-05	
202	4.569231788	2.696E-05	
203	4.616285144	2.419E-05	
204	4.640375078	2.289E-05	
205	4.633058068	2.328E-05	
206	4.602543196	2.497E-05	
207	4.587820113	2.583E-05	
208	4.571774467	2.681E-05	
209	4.571774467	2.681E-05	
210	4.560228496	2.753E-05	
211	4.576298765	2.653E-05	
212	4.624845037	2.372E-05	
213	4.689425631	2.044E-05	
214	4.721882306	1.897E-05	
215	4.713069972	1.936E-05	
216	4.705044641	1.972E-05	
217	4.694769046	2.019E-05	
218	4.655936028	2.208E-05	
219	4.568189303	2.703E-05	
220	4.499397192	3.167E-05	
221	4.47603644	3.342E-05	
222	4.492593491	3.217E-05	
223	4.519274621	3.025E-05	
224	4.485894736	3.267E-05	
225	4.408935393	3.900E-05	
226	4.364013888	4.325E-05	
227	4.375890212	4.208E-05	
228	4.459045191	3.475E-05	
229	4.530177984	2.950E-05	
230	4.519274621	3.025E-05	
231	4.467458363	3.408E-05	
232	4.410795702	3.883E-05	
233	4.409863993	3.892E-05	
234	4.425005089	3.758E-05	
235	4.438699412	3.642E-05	
236	4.459045191	3.475E-05	
237	4.436717122	3.658E-05	
238	4.425005089	3.758E-05	
239	4.386334679	4.108E-05	
240	4.362343189	4.342E-05	
241	4.347592159	4.492E-05	
242	4.352453711	4.442E-05	
243	4.373317876	4.233E-05	
244	4.406160339	3.925E-05	
245	4.50747288	3.108E-05	
246	4.677780705	2.100E-05	
247	4.767428232	1.708E-05	
248	4.644611703	2.267E-05	
249	4.47065564	3.383E-05	
250	4.370760686	4.258E-05	
251	4.363178236	4.333E-05	
252	4.417368561	3.825E-05	
253	4.466396966	3.417E-05	
254	4.455931956	3.500E-05	
255	4.39884537	3.992E-05	
256	4.360679889	4.358E-05	
257	4.362343189	4.342E-05	
258	4.418315389	3.817E-05	
259	4.52651303	2.975E-05	
260	4.615288257	2.425E-05	
261	4.657577319	2.200E-05	
262	4.61379899	2.433E-05	
263	4.594880837	2.542E-05	
264	4.59345982	2.550E-05	
265	4.635135825	2.317E-05	
266	4.66756154	2.150E-05	
267	4.66756154	2.150E-05	
268	4.676061412	2.108E-05	
269	4.66756154	2.150E-05	
270	4.686484996	2.058E-05	
271	4.726998728	1.875E-05	
272	4.708114123	1.958E-05	
273	4.660880618	2.183E-05	
274	4.555435299	2.783E-05	
275	4.490349968	3.233E-05	
276	4.455931956	3.500E-05	
277	4.43375937	3.683E-05	
278	4.409863993	3.892E-05	
279	4.364851151	4.317E-05	
280	4.338818872	4.583E-05	
281	4.332547047	4.650E-05	
282	4.327133106	4.708E-05	
283	4.35326994	4.433E-05	
284	4.382824508	4.142E-05	
285	4.425005089	3.758E-05	
286	4.48148606	3.300E-05	
287	4.455931956	3.500E-05	
288	4.410795702	3.883E-05	
289	4.334106767	4.633E-05	
290	4.301754134	4.992E-05	
291	4.327902142	4.700E-05	
292	4.369063881	4.275E-05	
293	4.485894736	3.267E-05	
294	4.528953382	2.958E-05	
295	4.50747288	3.108E-05	
296	4.439695155	3.633E-05	
297	4.389872387	4.075E-05	
298	4.41453927	3.850E-05	
299	4.472799451	3.367E-05	
300	4.580870692	2.625E-05	
301	4.596308234	2.533E-05	
302	4.501689446	3.150E-05	
303	4.381081049	4.158E-05	
304	4.301754134	4.992E-05	
305	4.270295109	5.367E-05	
306	4.303934695	4.967E-05	
307	4.330218385	4.675E-05	
308	4.350016132	4.467E-05	
309	4.346787486	4.500E-05	
310	4.34920696	4.475E-05	
311	4.370760686	4.258E-05	
312	4.37934352	4.175E-05	
313	4.363178236	4.333E-05	
314	4.337242168	4.600E-05	
315	4.354086725	4.425E-05	
316	4.46958641	3.392E-05	
317	4.742722313	1.808E-05	
318	5.756961951	1.750E-06	
319	#NUM!	-8.167E-06	
320	#NUM!	-3.333E-06	
321	4.82876222	1.483E-05	
322	4.338029332	4.592E-05	
323	4.042951862	9.058E-05	
324	3.766158981	1.713E-04	
325	3.492032197	3.221E-04	
326	3.210654124	6.157E-04	
327	2.938955995	1.151E-03	
328	2.681554112	2.082E-03	
329	2.440422511	3.627E-03	
330	2.214539683	6.102E-03	
331	2.004284403	9.902E-03	
332	1.808036937	1.556E-02	
333	1.625013499	2.371E-02	
334	1.453308283	3.521E-02	
335	1.290783057	5.119E-02	
336	1.136451621	7.304E-02	
337	0.990113753	1.023E-01	
338	0.852086245	1.406E-01	
339	0.722473298	1.895E-01	
340	0.600945142	2.506E-01	
341	0.487263921	3.256E-01	
342	0.380924331	4.160E-01	
343	0.281508137	5.230E-01	
344	0.188365797	6.481E-01	
345	0.10071554	7.930E-01	
346	0.017818349	9.598E-01	
347	-0.061079505	1.151E+00	
348	-0.136183337	1.368E+00	
349	-0.207436538	1.612E+00	
350	-0.274402494	1.881E+00	
351	-0.336666808	2.171E+00	
352	-0.394477758	2.480E+00	
353	-0.448367781	2.808E+00	
354	-0.499326177	3.157E+00	
355	-0.548024835	3.532E+00	
356	-0.594455839	3.931E+00	
357	-0.638572098	4.351E+00	
358	-0.680124344	4.788E+00	
359	-0.719375039	5.241E+00	
360	-0.756588056	5.709E+00	
361	-0.791894698	6.193E+00	
362	-0.824840372	6.681E+00	
363	-0.855058107	7.162E+00	
364	-0.882451642	7.629E+00	
365	-0.907373322	8.079E+00	
366	-0.930331411	8.518E+00	
367	-0.951235937	8.938E+00	
368	-0.969365898	9.319E+00	
369	-0.983653394	9.631E+00	
370	-0.99331553	9.847E+00	
371	-0.998077512	9.956E+00	
372	-0.998303881	9.961E+00	
373	-0.994480961	9.874E+00	
374	-0.987700318	9.721E+00	
375	-0.979562081	9.540E+00	
376	-0.972481965	9.386E+00	
377	-0.969389238	9.319E+00	
378	-0.972458991	9.386E+00	
379	-0.982590868	9.607E+00	
380	-0.999323505	9.984E+00	
381	-1.021209879	1.050E+01	
382	-1.046422759	1.113E+01	
383	-1.073062284	1.183E+01	
384	-1.099663558	1.258E+01	
385	-1.125160805	1.334E+01	
386	-1.149134517	1.410E+01	
387	-1.171670143	1.485E+01	
388	-1.19273026	1.559E+01	
389	-1.212049961	1.629E+01	
390	-1.229303312	1.696E+01	
391	-1.244412113	1.756E+01	
392	-1.257672494	1.810E+01	
393	-1.269584704	1.860E+01	
394	-1.280614492	1.908E+01	
395	-1.290608686	1.953E+01	
396	-1.299303839	1.992E+01	
397	-1.306697963	2.026E+01	
398	-1.31307022	2.056E+01	
399	-1.318725918	2.083E+01	
400	-1.32376963	2.108E+01	
401	-1.32809299	2.129E+01	
402	-1.331408075	2.145E+01	
403	-1.333583057	2.156E+01	
404	-1.33482392	2.162E+01	
405	-1.33548641	2.165E+01	
406	-1.3358969	2.167E+01	
407	-1.336130866	2.168E+01	
408	-1.336107042	2.168E+01	
409	-1.335761481	2.167E+01	
410	-1.335232265	2.164E+01	
411	-1.335043492	2.163E+01	
412	-1.335415694	2.165E+01	
413	-1.336237568	2.169E+01	
414	-1.3371013	2.173E+01	
415	-1.337820366	2.177E+01	
416	-1.338661473	2.181E+01	
417	-1.339908725	2.187E+01	
418	-1.341765232	2.197E+01	
419	-1.343964148	2.208E+01	
420	-1.346102203	2.219E+01	
421	-1.348033217	2.229E+01	
422	-1.349914388	2.238E+01	
423	-1.352174464	2.250E+01	
424	-1.354843798	2.264E+01	
425	-1.357584974	2.278E+01	
426	-1.359935829	2.291E+01	
427	-1.361634531	2.300E+01	
428	-1.362927039	2.306E+01	
429	-1.364202113	2.313E+01	
430	-1.365586671	2.321E+01	
431	-1.366804475	2.327E+01	
432	-1.367396357	2.330E+01	
433	-1.367206351	2.329E+01	
434	-1.366566031	2.326E+01	
435	-1.365948229	2.322E+01	
436	-1.365532902	2.320E+01	
437	-1.365288942	2.319E+01	
438	-1.36485231	2.317E+01	
439	-1.36432857	2.314E+01	
440	-1.364034068	2.312E+01	
441	-1.364428686	2.314E+01	
442	-1.365652525	2.321E+01	
443	-1.367353872	2.330E+01	
444	-1.36925284	2.340E+01	
445	-1.371162451	2.351E+01	
446	-1.373373064	2.363E+01	
447	-1.376159699	2.378E+01	
448	-1.379504071	2.396E+01	
449	-1.382984778	2.415E+01	
450	-1.386141103	2.433E+01	
451	-1.388816393	2.448E+01	
452	-1.391235092	2.462E+01	
453	-1.393743253	2.476E+01	
454	-1.396419475	2.491E+01	
455	-1.399081499	2.507E+01	
456	-1.401344751	2.520E+01	
457	-1.403207603	2.531E+01	
458	-1.404892993	2.540E+01	
459	-1.406679682	2.551E+01	
460	-1.408570431	2.562E+01	
461	-1.410084465	2.571E+01	
462	-1.41092035	2.576E+01	
463	-1.411019208	2.576E+01	
464	-1.410820793	2.575E+01	
465	-1.410781552	2.575E+01	
466	-1.410918894	2.576E+01	
467	-1.410926802	2.576E+01	
468	-1.41042462	2.573E+01	
469	-1.409443645	2.567E+01	
470	-1.408307623	2.560E+01	
471	-1.407299951	2.554E+01	
472	-1.406546648	2.550E+01	
473	-1.405825459	2.546E+01	
474	-1.404910011	2.540E+01	
475	-1.403864858	2.534E+01	
476	-1.402902083	2.529E+01	
477	-1.402200586	2.525E+01	
478	-1.401656545	2.521E+01	
479	-1.400880041	2.517E+01	
480	-1.399612928	2.510E+01	
481	-1.397943024	2.500E+01	
482	-1.396356352	2.491E+01	
483	-1.395314943	2.485E+01	
484	-1.394757297	2.482E+01	
485	-1.394348564	2.479E+01	
486	-1.393763313	2.476E+01	
487	-1.392776704	2.470E+01	
488	-1.391587309	2.464E+01	
489	-1.39038672	2.457E+01	
490	-1.38925878	2.451E+01	
491	-1.388205686	2.445E+01	
492	-1.387110046	2.438E+01	
493	-1.386138658	2.433E+01	
494	-1.385423601	2.429E+01	
495	-1.385054351	2.427E+01	
496	-1.38496656	2.426E+01	
497	-1.384781238	2.425E+01	
498	-1.384261273	2.422E+01	
499	-1.383441332	2.418E+01	
500	-1.382646969	2.413E+01	
501	-1.382200727	2.411E+01	
502	-1.382036369	2.410E+01	
503	-1.381906144	2.409E+01	
504	-1.381560537	2.407E+01	
505	-1.381002648	2.404E+01	
506	-1.380563172	2.402E+01	
507	-1.380537684	2.402E+01	
508	-1.38093034	2.404E+01	
509	-1.381504442	2.407E+01	
510	-1.38187681	2.409E+01	
511	-1.38191702	2.409E+01	
512	-1.381860264	2.409E+01	
513	-1.381951716	2.410E+01	
514	-1.382362827	2.412E+01	
515	-1.38291116	2.415E+01	
516	-1.383329705	2.417E+01	
517	-1.383636703	2.419E+01	
518	-1.384018631	2.421E+01	
519	-1.38480479	2.426E+01	
520	-1.385954014	2.432E+01	
521	-1.387113264	2.438E+01	
522	-1.38801579	2.444E+01	
523	-1.388638125	2.447E+01	
524	-1.389342505	2.451E+01	
525	-1.390296677	2.456E+01	
526	-1.391452386	2.463E+01	
527	-1.392600762	2.469E+01	
528	-1.393526267	2.475E+01	
529	-1.394480623	2.480E+01	
530	-1.39563635	2.487E+01	
531	-1.397100892	2.495E+01	
532	-1.398766407	2.505E+01	
533	-1.400288044	2.514E+01	
534	-1.401515355	2.521E+01	
535	-1.402495867	2.526E+01	
536	-1.403291256	2.531E+01	
